 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 199  | Malamar            |  0.04265% | 854    |  0.173% | 393    |  0.170% | 
 | 200  | Pincurchin         |  0.04221% | 691    |  0.140% | 325    |  0.141% | 
 | 201  | Swampert           |  0.04135% | 475    |  0.096% | 205    |  0.089% | 
 | 202  | Cobalion           |  0.04077% | 252    |  0.051% | 116    |  0.050% | 
 | 203  | Clodsire           |  0.04057% | 550    |  0.112% | 213    |  0.092% | 
 | 204  | Chandelure         |  0.03969% | 545    |  0.111% | 242    |  0.105% | 
 | 205  | Pawmot             |  0.03924% | 320    |  0.065% | 153    |  0.066% | 
 | 206  | Regirock           |  0.03775% | 300    |  0.061% | 139    |  0.060% | 
 | 207  | Gardevoir          |  0.03670% | 453    |  0.092% | 206    |  0.089% | 
 | 208  | Riolu              |  0.03669% | 259    |  0.053% | 101    |  0.044% | 
 | 209  | Rotom-Heat         |  0.03659% | 241    |  0.049% | 94     |  0.041% | 
 | 210  | Kilowattrel        |  0.03630% | 662    |  0.134% | 296    |  0.128% | 
 | 211  | Overqwil           |  0.03621% | 482    |  0.098% | 210    |  0.091% | 
 | 212  | Hariyama           |  0.03570% | 242    |  0.049% | 107    |  0.046% | 
 | 213  | Cinderace          |  0.03544% | 450    |  0.091% | 193    |  0.084% | 
 | 214  | Ribombee           |  0.03477% | 310    |  0.063% | 88     |  0.038% | 
 | 215  | Reuniclus          |  0.03416% | 469    |  0.095% | 228    |  0.099% | 
 | 216  | Decidueye-Hisui    |  0.03359% | 445    |  0.090% | 217    |  0.094% | 
 | 217  | Yanmega            |  0.03348% | 140    |  0.028% | 87     |  0.038% | 
 | 218  | Arboliva           |  0.03335% | 550    |  0.112% | 234    |  0.101% | 
 | 219  | Krookodile         |  0.03273% | 376    |  0.076% | 169    |  0.073% | 
 | 220  | Torterra           |  0.03254% | 400    |  0.081% | 170    |  0.074% | 
 | 221  | Perrserker         |  0.03120% | 220    |  0.045% | 106    |  0.046% | 
 | 222  | Tornadus-Therian   |  0.03097% | 240    |  0.049% | 113    |  0.049% | 
 | 223  | Hippowdon          |  0.03059% | 328    |  0.067% | 164    |  0.071% | 
 | 224  | Exeggutor-Alola    |  0.03019% | 331    |  0.067% | 128    |  0.055% | 
 | 225  | Delphox            |  0.02883% | 385    |  0.078% | 177    |  0.077% | 
 | 226  | Conkeldurr         |  0.02863% | 299    |  0.061% | 143    |  0.062% | 
 | 227  | Hypno              |  0.02783% | 101    |  0.020% | 45     |  0.019% | 
 | 228  | Tauros-Paldea-Aqua |  0.02591% | 342    |  0.069% | 147    |  0.064% | 
 | 229  | Feraligatr         |  0.02559% | 317    |  0.064% | 158    |  0.068% | 
 | 230  | Coalossal          |  0.02557% | 196    |  0.040% | 93     |  0.040% | 
 | 231  | Bastiodon          |  0.02519% | 530    |  0.108% | 266    |  0.115% | 
 | 232  | Samurott-Hisui     |  0.02515% | 379    |  0.077% | 171    |  0.074% | 
 | 233  | Weavile            |  0.02446% | 303    |  0.061% | 145    |  0.063% | 
 | 234  | Dusknoir           |  0.02406% | 227    |  0.046% | 71     |  0.031% | 
 | 235  | Gengar             |  0.02200% | 418    |  0.085% | 190    |  0.082% | 
 | 236  | Moltres            |  0.02180% | 202    |  0.041% | 97     |  0.042% | 
 | 237  | Magnezone          |  0.02177% | 200    |  0.041% | 81     |  0.035% | 
 | 238  | Lilligant          |  0.02169% | 246    |  0.050% | 90     |  0.039% | 
 | 239  | Ditto              |  0.02164% | 331    |  0.067% | 152    |  0.066% | 
 | 240  | Grafaiai           |  0.02147% | 321    |  0.065% | 129    |  0.056% | 
 | 241  | Quaquaval          |  0.02118% | 274    |  0.056% | 127    |  0.055% | 
 | 242  | Meganium           |  0.02104% | 155    |  0.031% | 54     |  0.023% | 
 | 243  | Mudsdale           |  0.02083% | 260    |  0.053% | 125    |  0.054% | 
 | 244  | Basculegion-F      |  0.02083% | 216    |  0.044% | 113    |  0.049% | 
 | 245  | Rotom-Frost        |  0.02024% | 137    |  0.028% | 61     |  0.026% | 
 | 246  | Meowstic           |  0.02024% | 421    |  0.085% | 148    |  0.064% | 
 | 247  | Camerupt           |  0.02016% | 136    |  0.028% | 59     |  0.026% | 
