| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 182  | Leavanny           |  0.00764% | 15     |  0.003% | 4      |  0.002% | 
 | 183  | Ceruledge          |  0.00733% | 1396   |  0.283% | 668    |  0.289% | 
 | 184  | Sableye            |  0.00693% | 1734   |  0.352% | 618    |  0.268% | 
 | 185  | Rotom-Mow          |  0.00619% | 31     |  0.006% | 11     |  0.005% | 
 | 186  | Cramorant          |  0.00616% | 91     |  0.018% | 37     |  0.016% | 
 | 187  | Blastoise          |  0.00604% | 1082   |  0.219% | 442    |  0.191% | 
 | 188  | Rhyperior          |  0.00603% | 992    |  0.201% | 496    |  0.215% | 
 | 189  | Hitmontop          |  0.00591% | 1180   |  0.239% | 478    |  0.207% | 
 | 190  | Serperior          |  0.00589% | 1937   |  0.393% | 771    |  0.334% | 
 | 191  | Cetitan            |  0.00582% | 1567   |  0.318% | 605    |  0.262% | 
 | 192  | Vikavolt           |  0.00581% | 674    |  0.137% | 293    |  0.127% | 
 | 193  | Charizard          |  0.00546% | 1312   |  0.266% | 605    |  0.262% | 
 | 194  | Bruxish            |  0.00544% | 314    |  0.064% | 154    |  0.067% | 
 | 195  | Mudsdale           |  0.00543% | 260    |  0.053% | 125    |  0.054% | 
 | 196  | Ludicolo           |  0.00537% | 586    |  0.119% | 279    |  0.121% | 
 | 197  | Lucario            |  0.00536% | 694    |  0.141% | 293    |  0.127% | 
 | 198  | Conkeldurr         |  0.00532% | 299    |  0.061% | 143    |  0.062% | 
 | 199  | Kubfu              |  0.00520% | 1      |  0.000% | 0      |  0.000% | 
 | 200  | Crabominable       |  0.00497% | 96     |  0.019% | 54     |  0.023% | 
 | 201  | Pachirisu          |  0.00491% | 286    |  0.058% | 118    |  0.051% | 
 | 202  | Weavile            |  0.00480% | 303    |  0.061% | 145    |  0.063% | 
 | 203  | Cobalion           |  0.00464% | 252    |  0.051% | 116    |  0.050% | 
 | 204  | Iron Treads        |  0.00413% | 836    |  0.170% | 375    |  0.162% | 
 | 205  | Overqwil           |  0.00405% | 482    |  0.098% | 210    |  0.091% | 
 | 206  | Pawmot             |  0.00402% | 320    |  0.065% | 153    |  0.066% | 
 | 207  | Hariyama           |  0.00392% | 242    |  0.049% | 107    |  0.046% | 
 | 208  | Trevenant          |  0.00388% | 222    |  0.045% | 87     |  0.038% | 
 | 209  | Pincurchin         |  0.00375% | 691    |  0.140% | 325    |  0.141% | 
 | 210  | Scyther            |  0.00366% | 96     |  0.019% | 43     |  0.019% | 
 | 211  | Malamar            |  0.00345% | 854    |  0.173% | 393    |  0.170% | 
 | 212  | Typhlosion-Hisui   |  0.00341% | 783    |  0.159% | 378    |  0.164% | 
 | 213  | Meowstic           |  0.00314% | 421    |  0.085% | 148    |  0.064% | 
 | 214  | Wigglytuff         |  0.00304% | 119    |  0.024% | 40     |  0.017% | 
 | 215  | Houndstone         |  0.00301% | 701    |  0.142% | 335    |  0.145% | 
 | 216  | Ribombee           |  0.00299% | 310    |  0.063% | 88     |  0.038% | 
 | 217  | Bellibolt          |  0.00296% | 388    |  0.079% | 197    |  0.085% | 
 | 218  | Ariados            |  0.00285% | 69     |  0.014% | 22     |  0.010% | 
 | 219  | Arboliva           |  0.00274% | 550    |  0.112% | 234    |  0.101% | 
 | 220  | Moltres            |  0.00271% | 202    |  0.041% | 97     |  0.042% | 
 | 221  | Mandibuzz          |  0.00236% | 91     |  0.018% | 36     |  0.016% | 
 | 222  | Hypno              |  0.00228% | 101    |  0.020% | 45     |  0.019% | 
 | 223  | Staraptor          |  0.00223% | 466    |  0.095% | 213    |  0.092% | 
 | 224  | Alcremie           |  0.00222% | 631    |  0.128% | 291    |  0.126% | 
 | 225  | Coalossal          |  0.00221% | 196    |  0.040% | 93     |  0.040% | 
 | 226  | Basculegion-F      |  0.00213% | 216    |  0.044% | 113    |  0.049% | 
 | 227  | Riolu              |  0.00204% | 259    |  0.053% | 101    |  0.044% | 
 | 228  | Slowbro            |  0.00201% | 360    |  0.073% | 185    |  0.080% | 
 | 229  | Dewgong            |  0.00198% | 151    |  0.031% | 71     |  0.031% | 
 | 230  | Lapras             |  0.00191% | 569    |  0.115% | 245    |  0.106% | 
 | 231  | Ditto              |  0.00181% | 331    |  0.067% | 152    |  0.066% | 
 | 232  | Exeggutor-Alola    |  0.00174% | 331    |  0.067% | 128    |  0.055% | 
 | 233  | Dachsbun           |  0.00171% | 143    |  0.029% | 63     |  0.027% | 
 | 234  | Kingdra            |  0.00169% | 1031   |  0.209% | 525    |  0.227% | 
 | 235  | Magmortar          |  0.00161% | 95     |  0.019% | 47     |  0.020% | 
 | 236  | Iron Leaves        |  0.00160% | 559    |  0.113% | 257    |  0.111% | 
 | 237  | Azelf              |  0.00152% | 156    |  0.032% | 55     |  0.024% | 
 | 238  | Bisharp            |  0.00151% | 308    |  0.062% | 112    |  0.048% | 
 | 239  | Torterra           |  0.00150% | 400    |  0.081% | 170    |  0.074% | 
 | 240  | Barraskewda        |  0.00140% | 484    |  0.098% | 199    |  0.086% | 
 | 241  | Heracross          |  0.00139% | 149    |  0.030% | 75     |  0.032% | 
 | 242  | Bastiodon          |  0.00136% | 530    |  0.108% | 266    |  0.115% | 
 | 243  | Wyrdeer            |  0.00136% | 194    |  0.039% | 88     |  0.038% | 
 | 244  | Rabsca             |  0.00136% | 306    |  0.062% | 162    |  0.070% | 
 | 245  | Cinderace          |  0.00132% | 450    |  0.091% | 193    |  0.084% | 
 | 246  | Illumise           |  0.00129% | 258    |  0.052% | 80     |  0.035% | 
 | 247  | Samurott-Hisui     |  0.00113% | 379    |  0.077% | 171    |  0.074% | 
 | 248  | Rotom-Heat         |  0.00108% | 241    |  0.049% | 94     |  0.041% | 
 | 249  | Perrserker         |  0.00098% | 220    |  0.045% | 106    |  0.046% | 
 | 250  | Umbreon            |  0.00098% | 736    |  0.149% | 303    |  0.131% | 
 | 251  | Clodsire           |  0.00095% | 550    |  0.112% | 213    |  0.092% | 
 | 252  | Ursaring           |  0.00094% | 22     |  0.004% | 10     |  0.004% | 
 | 253  | Lilligant          |  0.00091% | 246    |  0.050% | 90     |  0.039% | 
 | 254  | Slaking            |  0.00091% | 688    |  0.140% | 290    |  0.126% | 
 | 255  | Dedenne            |  0.00085% | 38     |  0.008% | 16     |  0.007% | 
 | 256  | Braviary-Hisui     |  0.00083% | 321    |  0.065% | 142    |  0.061% | 
 | 257  | Gengar             |  0.00082% | 418    |  0.085% | 190    |  0.082% | 
 | 258  | Krookodile         |  0.00079% | 376    |  0.076% | 169    |  0.073% | 
 | 259  | Feraligatr         |  0.00079% | 317    |  0.064% | 158    |  0.068% | 
 | 260  | Rhydon             |  0.00079% | 380    |  0.077% | 152    |  0.066% | 
 | 261  | Slowking-Galar     |  0.00077% | 683    |  0.139% | 319    |  0.138% | 
 | 262  | Quaquaval          |  0.00075% | 274    |  0.056% | 127    |  0.055% | 
 | 263  | Breloom            |  0.00073% | 684    |  0.139% | 315    |  0.136% | 
 | 264  | Charjabug          |  0.00072% | 157    |  0.032% | 54     |  0.023% | 
 | 265  | Reuniclus          |  0.00071% | 469    |  0.095% | 228    |  0.099% | 
 | 266  | Braviary           |  0.00070% | 276    |  0.056% | 120    |  0.052% | 
 | 267  | Golem              |  0.00069% | 73     |  0.015% | 27     |  0.012% | 
 | 268  | Medicham           |  0.00067% | 506    |  0.103% | 177    |  0.077% | 
 | 269  | Greninja           |  0.00067% | 319    |  0.065% | 138    |  0.060% | 
 | 270  | Poliwrath          |  0.00064% | 115    |  0.023% | 61     |  0.026% | 
 | 271  | Eelektross         |  0.00064% | 158    |  0.032% | 69     |  0.030% | 
 | 272  | Prinplup           |  0.00064% | 11     |  0.002% | 4      |  0.002% | 
 | 273  | Piplup             |  0.00064% | 16     |  0.003% | 0      |  0.000% | 
 | 274  | Decidueye-Hisui    |  0.00062% | 445    |  0.090% | 217    |  0.094% | 
 | 275  | Florges            |  0.00061% | 252    |  0.051% | 120    |  0.052% | 
 | 276  | Minior             |  0.00060% | 78     |  0.016% | 31     |  0.013% | 
