 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 158  | Persian-Alola      |  0.23601% | 7455   |  0.236% | 3531   |  0.245% | 
 | 159  | Dachsbun           |  0.22781% | 7196   |  0.228% | 3712   |  0.258% | 
 | 160  | Slowbro-Galar      |  0.22329% | 7053   |  0.223% | 3264   |  0.227% | 
 | 161  | Coalossal          |  0.21778% | 6879   |  0.218% | 3064   |  0.213% | 
 | 162  | Magnezone          |  0.21762% | 6874   |  0.218% | 3000   |  0.208% | 
 | 163  | Delphox            |  0.21154% | 6682   |  0.212% | 2881   |  0.200% | 
 | 164  | Frosmoth           |  0.21113% | 6669   |  0.211% | 2829   |  0.197% | 
 | 165  | Rabsca             |  0.20410% | 6447   |  0.204% | 2760   |  0.192% | 
 | 166  | Staraptor          |  0.20261% | 6400   |  0.203% | 2957   |  0.205% | 
 | 167  | Medicham           |  0.20112% | 6353   |  0.201% | 2756   |  0.191% | 
 | 168  | Stonjourner        |  0.19913% | 6290   |  0.199% | 2876   |  0.200% | 
 | 169  | Salazzle           |  0.19853% | 6271   |  0.199% | 2721   |  0.189% | 
 | 170  | Typhlosion         |  0.19745% | 6237   |  0.197% | 2968   |  0.206% | 
 | 171  | Toxicroak          |  0.19270% | 6087   |  0.193% | 2808   |  0.195% | 
 | 172  | Toedscruel         |  0.18897% | 5969   |  0.189% | 2344   |  0.163% | 
 | 173  | Mudsdale           |  0.18716% | 5912   |  0.187% | 2900   |  0.201% | 
 | 174  | Barraskewda        |  0.18691% | 5904   |  0.187% | 2478   |  0.172% | 
 | 175  | Hawlucha           |  0.18590% | 5872   |  0.186% | 2589   |  0.180% | 
 | 176  | Krookodile         |  0.18330% | 5790   |  0.183% | 2614   |  0.182% | 
 | 177  | Indeedee           |  0.17839% | 5635   |  0.178% | 2172   |  0.151% | 
 | 178  | Jolteon            |  0.17342% | 5478   |  0.173% | 2722   |  0.189% | 
 | 179  | Vivillon           |  0.16966% | 5359   |  0.170% | 1846   |  0.128% | 
 | 180  | Appletun           |  0.16814% | 5311   |  0.168% | 2010   |  0.140% | 
 | 181  | Golduck            |  0.16013% | 5058   |  0.160% | 2189   |  0.152% | 
